image_name,pci
"10745_[40.72376740448161, -89.44599936927897]_ 2023-10-18 20-31-56_23.89275_LD.jpg",100
"49812_[40.700766104509725, -89.3989279463273]_ 2023-10-20 21-31-18_9.55895_LD.jpg",100
"60080_(40.69357, -89.45994)_ 2023-10-20 18-29-45_8.8097_D.jpg",100
"2205_(40.7031665, -89.4067306666667)_ 2023-10-20 21-52-41_19.01615_D.jpg",12
"28158_[40.7079780926376, -89.39486040573811]_ 2023-10-18 17-37-05_29.57965_LD.jpg",100
"6475_(40.7031491666667, -89.4016251666667)_ 2023-10-18 16-52-54_11.5662_D.jpg",29
"16087_[40.69197101456711, -89.48179808055912]_ 2023-10-20 17-27-36_28.3124_LD.jpg",25
"25589_(40.6905283333333, -89.4080795)_ 2023-10-20 20-43-33_20.9494_D.jpg",4
"18961_[40.7048084121528, -89.44549516938383]_ 2023-10-20 18-52-32_9.546_LD.jpg",36
"46627_[40.70477720323882, -89.41036534729626]_ 2023-10-20 20-00-10_30.23825_LD.jpg",45
"29170_[40.70640819600813, -89.41186931876159]_ 2023-10-18 18-33-44_28.1459_LD.jpg",100
"44474_(40.7112993333333, -89.4175493333333)_ 2023-10-20 19-35-23_32.042_D.jpg",64
"47226_[40.703738862904686, -89.4215208343427]_ 2023-10-20 20-08-03_25.6817_LD.jpg",4
"14359_[40.702658339821014, -89.45729735770226]_ 2023-10-20 16-36-18_52.0035_LD.jpg",71
"60382_[40.700618023126935, -89.46000628899485]_ 2023-10-20 18-34-43_38.4837_LD.jpg",100
"30308_(40.7109011666667, -89.4071893333333)_ 2023-10-18 18-48-24_34.8392_D.jpg",41
"27383_(40.7111615, -89.3999771666667)_ 2023-10-18 17-28-22_22.5811_D.jpg",48
"41909_[40.70477947748844, -89.463784896828]_ 2023-10-20 16-43-22_56.06425_LD.jpg",97
"47543_(40.7074121666667, -89.432418)_ 2023-10-20 20-10-44_17.46585_D.jpg",78
"50449_(40.7194333333333, -89.4459353333333)_ 2023-10-18 20-50-31_45.2843_D.jpg",15
"41746_(40.7061616666667, -89.46158)_ 2023-10-20 16-41-33_43.72845_D.jpg",64
"60374_(40.7003018333333, -89.459883)_ 2023-10-20 18-34-40_44.9809_D.jpg",100
"44951_[40.70640521067971, -89.4118747260834]_ 2023-10-20 19-39-53_40.63895_LD.jpg",100
"2250_(40.703414, -89.4077006666667)_ 2023-10-20 21-53-11_37.49025_D.jpg",88
"27727_(40.711494, -89.3961756666667)_ 2023-10-18 17-32-22_30.09395_D.jpg",100
"32439_[40.71797500331078, -89.41553533655694]_ 2023-10-18 19-07-24_44.79775_LD.jpg",59
"56606_[40.68911264752209, -89.48364474416334]_ 2023-10-20 18-02-29_44.1077_LD.jpg",100
"41472_[40.70361198275607, -89.45714330625874]_ 2023-10-20 16-38-55_41.1033_LD.jpg",36
"39714_[40.71348911180568, -89.44579702894656]_ 2023-10-20 15-23-01_15.6769_LD.jpg",100
"1119_[40.703396736153195, -89.40525218403829]_ 2023-10-18 15-49-01_14.30605_LD.jpg",64
"55505_[40.69664985276057, -89.47868495373822]_ 2023-10-20 17-51-03_38.3616_LD.jpg",88
"56788_(40.687445, -89.4835683333333)_ 2023-10-20 18-04-07_42.23365_D.jpg",100
"45204_(40.7090176666667, -89.4118755)_ 2023-10-20 19-42-35_14.67975_D.jpg",100
"14_(40.7160648333333, -89.4444543333333)_ 2023-10-18 15-41-31_8.362_D.jpg",44
"27734_[40.71145608438983, -89.39581424712068]_ 2023-10-18 17-32-25_25.38385_LD.jpg",100
"60373_[40.70025623093497, -89.45990724246015]_ 2023-10-20 18-34-39_45.2843_LD.jpg",100
"33850_(40.7181101666667, -89.4210996666667)_ 2023-10-18 19-21-19_31.96245_D.jpg",64
"19406_(40.7048003333333, -89.4405755)_ 2023-10-20 18-57-23_22.38315_D.jpg",26
"58947_(40.687993, -89.4643655)_ 2023-10-20 18-20-08_49.1545_D.jpg",39
